I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;MaxDrawdown;TotalTradeProfit
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9996.82396000;9996.82396000;0.00000000;10;6;26.6100;-3.1760
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9994.17844000;9994.17844000;0.00000000;12;7;40.0860;-5.8216
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9977.11844000;9977.11844000;0.00000000;16;9;48.4160;-22.8816
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9990.09116000;9990.09116000;0.00000000;20;12;64.7960;-9.9088
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10005.33396000;10005.33396000;0.00000000;24;15;63.0460;5.3340
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10045.72000000;10045.72000000;0.00000000;28;19;59.9200;45.7200
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10016.65000000;10016.65000000;0.00000000;31;20;70.5100;16.6500
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10003.02904000;10003.02904000;0.00000000;30;19;95.6800;3.0290
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10006.37808000;10006.37808000;0.00000000;34;21;81.2200;6.3781
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;10031.16000000;10031.16000000;0.00000000;36;23;120.6200;31.1600
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9986.83000000;9986.83000000;0.00000000;33;20;118.5900;-13.1700
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9976.50000000;9976.50000000;0.00000000;29;17;97.5700;-23.5000
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9945.87000000;9945.87000000;0.00000000;26;14;129.1700;-54.1300
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9903.94000000;9903.94000000;0.00000000;20;9;129.7200;-96.0600
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9871.74000000;9871.74000000;0.00000000;15;5;139.8500;-128.2600
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9866.27000000;9866.27000000;0.00000000;12;3;152.6000;-133.7300
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9889.62000000;9889.62000000;0.00000000;11;3;130.4700;-110.3800
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9875.50000000;9875.50000000;0.00000000;10;2;146.1200;-124.5000
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;0.500000;60;0.001000;7;20;1;9880.83000000;9880.83000000;0.00000000;8;1;119.1700;-119.1700
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10054.53964000;10054.53964000;0.00000000;9;6;19.3500;54.5396
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10061.02412000;10061.02412000;0.00000000;11;7;18.4500;61.0241
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10041.71868000;10041.71868000;0.00000000;14;8;36.4900;41.7187
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10013.68972000;10013.68972000;0.00000000;19;9;61.7242;13.6897
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10055.88516000;10055.88516000;0.00000000;22;11;60.6142;55.8852
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10073.36936000;10073.36936000;0.00000000;26;13;66.2727;73.3694
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10002.22544000;10002.22544000;0.00000000;28;13;90.8008;2.2254
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9963.85224000;9963.85224000;0.00000000;27;12;98.3321;-36.1478
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10002.69608000;10002.69608000;0.00000000;32;15;90.4600;2.6961
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10002.08072000;10002.08072000;0.00000000;34;16;125.5300;2.0807
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9986.83256000;9986.83256000;0.00000000;32;15;137.2500;-13.1674
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10006.54176000;10006.54176000;0.00000000;29;14;127.7700;6.5418
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;10024.62000000;10024.62000000;0.00000000;26;13;124.9000;24.6200
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9975.74000000;9975.74000000;0.00000000;20;9;113.2400;-24.2600
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9910.54000000;9910.54000000;0.00000000;15;5;138.0900;-89.4600
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9895.85000000;9895.85000000;0.00000000;12;3;141.2100;-104.1500
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9918.61000000;9918.61000000;0.00000000;11;3;121.0100;-81.3900
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9895.21000000;9895.21000000;0.00000000;10;2;136.2800;-104.7900
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;1.000000;60;0.001000;7;20;1;9890.63000000;9890.63000000;0.00000000;8;1;109.3700;-109.3700
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10027.53964000;10027.53964000;0.00000000;9;5;58.1287;27.5396
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10047.53412000;10047.53412000;0.00000000;11;6;55.4287;47.5341
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10105.59788000;10105.59788000;0.00000000;14;8;36.4900;105.5979
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10096.66060000;10096.66060000;0.00000000;18;9;44.2900;96.6606
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10103.23668000;10103.23668000;0.00000000;21;10;42.3400;103.2367
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10208.66464000;10208.66464000;0.00000000;24;13;42.9500;208.6646
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10144.04384000;10144.04384000;0.00000000;26;13;41.9600;144.0438
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10008.22836000;10008.22836000;0.00000000;26;10;89.9468;8.2284
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10043.55268000;10043.55268000;0.00000000;30;13;68.0206;43.5527
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10017.57104000;10017.57104000;0.00000000;31;12;126.7966;17.5710
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10127.85100000;10127.85100000;0.00000000;29;14;106.5000;127.8510
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10077.50976000;10077.50976000;0.00000000;29;13;130.0683;77.5098
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;10034.69352000;10034.69352000;0.00000000;26;11;143.2500;34.6935
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9999.98000000;9999.98000000;0.00000000;20;8;142.2300;-0.0200
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9948.80000000;9948.80000000;0.00000000;15;5;138.0900;-51.2000
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9911.71000000;9911.71000000;0.00000000;12;3;141.2100;-88.2900
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9948.07000000;9948.07000000;0.00000000;11;3;121.0100;-51.9300
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9914.45000000;9914.45000000;0.00000000;10;2;126.4400;-85.5500
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;1.500000;60;0.001000;7;20;1;9900.08000000;9900.08000000;0.00000000;8;1;99.9200;-99.9200
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9993.76964000;9993.76964000;0.00000000;9;4;77.3187;-6.2304
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10022.82860000;10022.82860000;0.00000000;11;5;75.0287;22.8286
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10019.31788000;10019.31788000;0.00000000;14;6;96.3708;19.3179
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10024.72060000;10024.72060000;0.00000000;18;7;122.0408;24.7206
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10102.30484000;10102.30484000;0.00000000;21;9;56.6829;102.3048
